Milliseconds since Epoch,Speed,Watt,Ampere,Altitude,GPS Speed,Vehicle Body Temperature ,Battery Percentage,Battery Voltage,Battery Capacity,Battery Temperature,Remaining Mileage,Total Mileage,Latitude,Longitude
1710418231680,-0.133,0.3974,0.01,223.7,0.34313962,24,87,39.74,6799,25,26.1,824.965,46.307453,16.338316
1710418232041,-0.133,0.3974,0.01,223.7,0.34313962,24,87,39.74,6799,25,26.1,824.965,46.307453,16.338316
1710418232445,0,0.3974,0.01,223.7,0.34313962,24,87,39.74,6799,25,26.1,824.965,46.307453,16.338316
1710418232760,-0.284,0.7948,0.02,223.7,0.34313962,24,87,39.74,6799,25,26.1,824.965,46.307453,16.338316
1710418233074,0.913,0.7948,0.02,223.7,0.34313962,24,87,39.74,6799,25,26.1,824.965,46.307453,16.338316
1710418233413,0.725,0.7948,0.02,223.7,0.34313962,24,87,39.74,6799,25,26.1,824.965,46.307453,16.338316
1710418233727,2.537,0.3974,0.01,223.7,0.34313962,24,87,39.74,6799,25,26.1,824.965,46.307453,16.338316
1710418234111,2.606,0.3974,0.01,223.7,0.34313962,24,87,39.74,6799,25,26.1,824.965,46.307453,16.338316
1710418234447,3.218,0.7948,0.02,223.7,0.34313962,24,87,39.74,6799,25,26.1,824.965,46.307453,16.338316
1710418234785,3.302,0.7948,0.02,223.7,0.34313962,24,87,39.74,6799,25,26.1,824.965,46.307453,16.338316
1710418235122,2.643,0.7948,0.02,224.5,0.4319313,24,87,39.74,6799,25,26.1,824.965,46.30749,16.338242
1710418235752,1.71,0.7948,0.02,224.5,0.4319313,24,87,39.74,6799,25,26.1,824.965,46.30749,16.338242
1710418236226,0,0.7948,0.02,224.5,0.4319313,24,87,39.74,6799,25,26.1,824.965,46.30749,16.338242
1710418236540,3.279,0.7948,0.02,224.5,0.4319313,24,87,39.74,6799,25,26.1,824.965,46.30749,16.338242
1710418236854,3.253,0.7948,0.02,224.5,0.4319313,24,87,39.74,6799,25,26.1,824.965,46.30749,16.338242
1710418237193,3.253,0.7948,0.02,224.5,0.4319313,24,87,39.74,6799,25,26.1,824.965,46.30749,16.338242
1710418237733,6.201,0.7948,0.02,224.5,0.4319313,24,87,39.74,6799,25,26.1,824.965,46.30749,16.338242
1710418238318,5.949,1.1922,0.03,224.5,0.4319313,24,87,39.74,6799,25,26.1,824.966,46.30749,16.338242
1710418238654,9.275,457.1112,11.83,224.5,0.4319313,24,87,38.64,6798,25,26.1,824.967,46.30749,16.338242
1710418239015,8.862,556.5252,14.63,224.5,0.4319313,24,87,38.04,6797,25,26.1,824.968,46.30749,16.338242
1710418239352,10.636,553.66,14.57,224.5,0.4319313,24,87,38,6796,25,26.1,824.969,46.30749,16.338242
1710418239667,10.697,554.216,14.6,224.5,0.4319313,24,87,37.96,6795,25,26.1,824.97,46.30749,16.338242
1710418240028,12.488,554.216,14.6,224.5,0.4319313,24,87,37.96,6795,25,26.1,824.971,46.30749,16.338242
1710418240636,12.488,554.216,14.6,224.5,0.4319313,24,87,37.96,6795,25,26.1,824.971,46.30749,16.338242
1710418241040,13.644,554.216,14.6,224.5,0.4319313,24,87,37.96,6795,25,26.1,824.973,46.30749,16.338242
1710418241423,16.094,554.216,14.6,224.5,0.4319313,24,87,37.96,6795,25,26.1,824.976,46.30749,16.338242
1710418241872,16.094,568.1375,15.05,224.5,0.4319313,24,87,37.75,6788,25,26.1,824.976,46.30749,16.338242
